Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Trial # 1,layer0-5_O2_to_T1.jpg,layer0-5/layer0-5_O2_to_T1.jpg,OT,layer0-5,0,0,0,0,,,,,,,,,62.341634398995666,None,1.0,35.99979302800057,62.341634398995666,None,62.341634398995666,None,62.341634398995666,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 2,layer0-5_O11_to_T7.jpg,layer0-5/layer0-5_O11_to_T7.jpg,OT,layer0-5,0,1,1,1,,,,,,,,,102.9048452059942,None,1.0,10.364158304997545,102.9048452059942,None,102.9048452059942,None,102.9048452059942,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 3,layer6-8_O3_to_O5.jpg,layer6-8/layer6-8_O3_to_O5.jpg,OO,layer6-8,0,2,2,2,,,,,,,,,115.72459496399824,None,4.0,9.933816173004743,115.72459496399824,None,115.72459496399824,None,115.72459496399824,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 4,layer6-8_O11_to_O4.jpg,layer6-8/layer6-8_O11_to_O4.jpg,OO,layer6-8,0,3,3,3,,,,,,,,,127.99592638199829,None,4.0,18.51396590100194,127.99592638199829,None,127.99592638199829,None,127.99592638199829,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 5,layer6-8_O8_to_T8.jpg,layer6-8/layer6-8_O8_to_T8.jpg,OT,layer6-8,0,4,4,4,,,,,,,,,148.13589360100013,None,4.0,26.449220130001777,148.13589360100013,None,148.13589360100013,None,148.13589360100013,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 6,layer0-5_O11_to_O8.jpg,layer0-5/layer0-5_O11_to_O8.jpg,OO,layer0-5,0,5,5,5,,,,,,,,,175.07656033899548,None,1.0,19.44399961399904,175.07656033899548,None,175.07656033899548,None,175.07656033899548,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 7,layer0-5_T10_to_T11.jpg,layer0-5/layer0-5_T10_to_T11.jpg,TT,layer0-5,0,6,6,6,,,,,,,,,201.8679449689953,None,1.0,4.892517508997116,201.8679449689953,None,201.8679449689953,None,201.8679449689953,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 8,layer9-17_O6_to_O9.jpg,layer9-17/layer9-17_O6_to_O9.jpg,OO,layer9-17,0,7,7,7,,,,,,,,,207.90418636899994,None,2.0,2.423617597996781,207.90418636899994,None,207.90418636899994,None,207.90418636899994,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 9,layer6-8_O12_to_O9.jpg,layer6-8/layer6-8_O12_to_O9.jpg,OO,layer6-8,0,8,8,8,,,,,,,,,211.47094238299906,None,3.0,2.360339901999396,211.47094238299906,None,211.47094238299906,None,211.47094238299906,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
Trial # 10,layer0-5_O10_to_T2.jpg,layer0-5/layer0-5_O10_to_T2.jpg,OT,layer0-5,0,9,9,9,,,,,,,,,214.35531666099996,None,4.0,8.810341265998431,214.35531666099996,None,214.35531666099996,None,214.35531666099996,None,noahdeetz,001,2022_Jun_23_1319,Semantic-hierachy,2021.1.2,60.176234527180846,
